0.75	4.25 2.98258836136221 0.75 0.478713553878169 4012 0 0 2 0 1 0
0.75	4.25 2.98258836136221 1 0.408248290463863 4663.33333333333 513.666666666667 889.696764821213 3 2 1 0.666666666666667
0.75	4.25 2.98258836136221 1 0.408248290463863 4594.33333333333 52.1666666666667 90.3553171281764 3 0 1 0
0.75	4.25 2.98258836136221 0.75 0.478713553878169 4966.5 0 0 2 0 1 0
0.75	4.25 2.98258836136221 1 0.408248290463863 4832.5 664 1150.08173622573 3 2 1 0.666666666666667
0.75	4.25 2.98258836136221 1 0.408248290463863 4435 882.5 1528.53483767953 3 2 1 0.666666666666667
0.75	4.25 2.98258836136221 1 0.408248290463863 2254.5 NA NA 1 0 1 0
1.95	4.25 2.98258836136221 1.25 0.478713553878169 2663 901.659608721606 2208.60596304547 3 2 0.5 0.333333333333333
1.95	4.25 2.98258836136221 1 0.408248290463863 4216.66666666667 620.833333333333 1075.31487636568 3 0 1 0
1.95	4.25 2.98258836136221 1 0.408248290463863 4335 312 540.39985196149 3 0 1 0
1.95	4.25 2.98258836136221 1 0.408248290463863 4380 749 1297.30605486909 3 2 1 0.666666666666667
1.95	4.25 2.98258836136221 1 0.408248290463863 4411.66666666667 54.3333333333333 94.108093877909 3 0 1 0
1.95	4.25 2.98258836136221 1 0.408248290463863 4258 628 1087.72790715326 3 0 1 0
1.95	4.25 2.98258836136221 1 0.408248290463863 4177.33333333333 307.666666666667 532.894298462025 3 0 1 0
1.95	4.25 2.98258836136221 1 0.408248290463863 4214.66666666667 661.333333333333 1145.46293407222 3 0 1 0
1.95	4.25 2.98258836136221 1 0.408248290463863 2150.07142857143 793.667417365583 2099.84661004424 3 0 0.428571428571429 0
1.95	4.25 2.98258836136221 0.75 0.478713553878169 5182 0 0 2 2 1 1
1.95	4.25 2.98258836136221 1 0.408248290463863 4287 3 5.19615242270663 3 0 1 0
1.95	4.25 2.98258836136221 1 0.408248290463863 4219.33333333333 516.166666666667 894.026891840135 3 0 1 0
1.95	4.25 2.98258836136221 1.25 0.478713553878169 3580.375 1083.46608882097 2166.93217764193 3 2 0.75 0.5
1.95	4.25 2.98258836136221 1 0.408248290463863 4860.66666666667 702.833333333333 1217.34304258633 3 2 1 0.666666666666667
1.95	4.25 2.98258836136221 1 0.408248290463863 4445.33333333333 440.666666666667 763.257055868685 3 0 1 0
1.95	4.25 2.98258836136221 1 0.408248290463863 4259.16666666667 208.333333333333 360.843918243516 3 0 1 0
1.95	4.25 2.98258836136221 0.75 0.478713553878169 4861 0 0 2 0 1 0
1.95	4.25 2.98258836136221 1 0.408248290463863 4550.16666666667 439.333333333333 760.947654791927 3 0 1 0
1.95	4.25 2.98258836136221 1 0.408248290463863 4248.66666666667 630.333333333333 1091.76935903758 3 0 1 0
1.95	4.25 2.98258836136221 1 0.408248290463863 3906.16666666667 322.333333333333 558.297710306368 3 0 1 0
